;; Original version courtesy of University of Pittsburgh opin@cs.pitts.edu
;; released under GNU LESSER GENERAL PUBLIC LICENSE
;; Version 2.1, February 1999
;; remove this license header to use in Sigma (http://sigmakee.sourceforge.net)

"type","word","POS","stemmed","polarity",,
"strong","affection","noun","n","positive",,
"strong","affectionate","adj","n","positive",,
"weak","affinity","noun","n","positive",,
"strong","affirm","verb","y","positive",,
"strong","affirmation","adj","n","positive",,
"strong","affirmation","noun","n","positive",,
"weak","affirmative","noun","n","positive",,
"weak","afflict","verb","y","negative",,
"weak","affliction","noun","n","negative",,
"strong","afflictive","adj","n","negative",,
"weak","affluent","adj","n","positive",,
"weak","affluence","noun","n","positive",,
"weak","afford","verb","y","positive",,
"weak","affordable","adj","n","positive",,
"strong","affront","noun","n","negative",,
"strong","affront","verb","y","negative",,
"weak","afloat","adj","n","positive",,
"strong","afraid","adj","n","negative",,
"weak","against","anypos","n","negative",,
"strong","aggravate","verb","y","negative",,
"strong","aggravating","adj","n","negative",,
"strong","aggravation","noun","n","negative",,
"strong","aggression","adj","n","negative",,
"strong","aggression","noun","n","negative",,
"strong","aggressive","anypos","y","negative",,
"strong","aggressiveness","noun","n","negative",,
"strong","aggressor","noun","n","negative",,
"strong","aggrieve","verb","y","negative",,
"strong","aggrieved","adj","n","negative",,
"strong","aghast","adj","n","negative",,
"weak","agile","adj","n","positive",,
"weak","agilely","adverb","n","positive",,
"weak","agility","noun","n","positive",,
"strong","agitate","verb","y","negative",,
"strong","agitated","adj","n","negative",,
"strong","agitation","noun","n","negative",,
"strong","agitator","noun","n","negative",,
"strong","agonies","noun","n","negative",,
"strong","agonize","verb","y","negative",,
"strong","agonizing","adj","n","negative",,
"strong","agonizing","anypos","y","negative",,
"strong","agonizingly","anypos","n","negative",,
"strong","agony","noun","n","negative",,
"strong","agree","verb","y","positive",,
"strong","agreeability","anypos","y","positive",,
"weak","agreeable","adj","n","positive",,
"strong","agreeable","anypos","y","positive",,
"strong","agreeableness","anypos","y","positive",,
"strong","agreeably","anypos","y","positive",,
"weak","agreement","adj","n","positive",,
"weak","agreement","noun","n","positive",,
"strong","aha","anypos","y","neutral",,
"weak","ail","noun","n","negative",,
"weak","ail","verb","y","negative",,
"weak","ailment","noun","n","negative",,
"strong","aimless","adj","n","negative",,
"strong","air","verb","y","neutral",,
"weak","airs","adj","n","negative",,
"weak","airs","noun","n","negative",,
"weak","alarm","adj","n","negative",,
"weak","alarm","verb","y","negative",,
"strong","alarmed","adj","n","negative",,
"strong","alarming","adj","n","negative",,
"strong","alarmingly","anypos","n","negative",,
"strong","alas","anypos","y","negative",,
"weak","alert","adj","n","neutral",,
"weak","alienate","verb","y","negative",,
"weak","alienated","adj","n","negative",,
"weak","alienation","noun","n","negative",,
"weak","all-time","adj","n","neutral",,
"weak","all-time","noun","n","neutral",,
"strong","allay","verb","y","positive",,
"strong","allegation","anypos","n","negative",,
"strong","allegations","adj","n","negative",,
"weak","allege","verb","n","negative",,
"strong","allegations","noun","n","negative",,
"strong","allegorize","verb","y","neutral",,
"weak","allergic","adj","n","negative",,
"weak","alleviate","verb","y","positive",,
"strong","alliance","anypos","n","neutral",,
"strong","alliances","adj","n","neutral",,
"strong","alliances","noun","n","neutral",,
"weak","allow","verb","y","positive",,
"weak","allowable","adj","n","positive",,
"strong","allure","verb","y","positive",,
"strong","allure","noun","n","positive",,
"strong","alluring","anypos","n","positive",,
"strong","alluringly","anypos","n","positive",,
"strong","allusion","adj","n","neutral",,
"strong","allusion","noun","n","neutral",,
"strong","allusions","anypos","n","neutral",,
"strong","ally","noun","y","positive",,
"strong","almighty","adj","n","positive",,
"strong","aloof","adj","n","negative",,
"weak","altercation","noun","n","negative",,
"weak","although","anypos","y","negative",,
"strong","altogether","anypos","n","neutral",,
"strong","altruist","noun","n","positive",,
"strong","altruistic","adj","n","positive",,
"strong","altruistically","adj","n","positive",,
"strong","amaze","verb","y","positive",,
"strong","amazed","adj","n","positive",,
"strong","amazement","noun","n","positive",,
"strong","amazing","adj","n","positive",,
"strong","amazing","anypos","y","positive",,
"strong","amazingly","anypos","n","positive",,
"strong","ambiguous","adj","n","negative",,
"strong","ambiguity","noun","n","negative",,
"weak","ambitious","adj","n","positive",,
"weak","ambitious","noun","n","positive",,
"weak","ambitiously","anypos","y","positive",,
"strong","ambivalence","anypos","y","negative",,
"strong","ambivalent","adj","n","negative",,
"strong","ambivalent","noun","n","negative",,
"weak","ambush","noun","n","negative",,
"weak","ambush","verb","y","negative",,
"strong","ameliorate","verb","y","positive",,
"strong","amenable","adj","n","positive",,
"weak","amenity","noun","n","positive",,
"strong","amiability","noun","n","positive",,
"strong","amiabily","adverb","n","positive",,
"strong","amiable","adj","n","positive",,
"strong","amicability","noun","n","positive",,
"strong","amicable","adj","n","positive",,
"strong","amicably","adverb","n","positive",,
"strong","amiss","anypos","n","negative",,
"weak","amity","adj","n","positive",,
"weak","amity","noun","n","positive",,
"weak","amnesty","noun","n","positive",,
"strong","amour","noun","n","positive",,
"weak","ample","adj","n","positive",,
"weak","amply","adverb","n","positive",,
"weak","amplify","verb","y","neutral",,
"weak","amputate","verb","y","negative",,
"strong","amuse","verb","y","positive",,
"strong","amusement","adj","n","positive",,
"strong","amusement","noun","n","positive",,
"strong","amusing","adj","n","positive",,
"strong","amusing","anypos","y","positive",,
"strong","amusingly","anypos","y","positive",,
"weak","analytical","adj","n","neutral",,
"strong","anarchism","noun","n","negative",,
"strong","anarchist","noun","n","negative",,
"strong","anarchistic","adj","n","negative",,
"strong","anarchy","noun","n","negative",,
"weak","anemic","adj","n","negative",,
"weak","angel","noun","n","positive",,
"strong","angelic","adj","n","positive",,
"strong","anger","adj","n","negative",,
"strong","anger","noun","n","negative",,
"strong","anger","verb","y","negative",,
"strong","angrily","anypos","y","negative",,
"strong","angriness","anypos","y","negative",,
"strong","angry","adj","n","negative",,
"strong","anguish","noun","n","negative",,
"strong","anguish","verb","y","negative",,
"strong","annihilate","verb","y","negative",,
"strong","annihilation","noun","n","negative",,
"weak","animated","adj","n","positive",,
"strong","animosity","noun","n","negative",,
"strong","annoy","verb","y","negative",,
"strong","annoyance","noun","n","negative",,
"strong","annoyed","adj","n","negative",,
"strong","annoying","adj","n","negative",,
"strong","annoying","anypos","y","negative",,
"strong","annoyingly","anypos","n","negative",,
"weak","anomalous","adj","n","negative",,
"weak","anomaly","noun","n","negative",,
"strong","antagonism","noun","n","negative",,
"weak","antagonist","noun","n","negative",,
"strong","antagonistic","adj","n","negative",,
"strong","antagonize","verb","y","negative",,
"strong","anti-","noun","n","negative",,
"strong","anti-American","adj","n","negative",,
"strong","anti-American","noun","n","negative",,
"strong","anti-Israeli","adj","n","negative",,
"strong","anti-Israeli","noun","n","negative",,
"strong","anti-Semites","adj","n","negative",,
"strong","anti-Semites","noun","n","negative",,
"strong","anti-US","adj","n","negative",,
"strong","anti-US","noun","n","negative",,
"strong","anti-occupation","adj","n","negative",,
"strong","anti-occupation","noun","n","negative",,
"strong","anti-proliferation","adj","n","negative",,
"strong","anti-proliferation","noun","n","negative",,
"strong","anti-social","adj","n","negative",,
"strong","anti-white","adj","n","negative",,
"strong","anti-white","noun","n","negative",,
"strong","antipathy","noun","n","negative",,
"strong","antiquated","adj","n","negative",,
"strong","antithetical","adj","n","negative",,
"strong","antithetical","noun","n","negative",,
"strong","anxieties","noun","n","negative",,
"strong","anxiety","noun","n","negative",,
"strong","anxious","anypos","n","negative",,
"strong","anxiously","anypos","n","negative",,
"strong","anxiousness","noun","n","negative",,
"strong","anyhow","anypos","y","neutral",,
"strong","anyway","anypos","y","neutral",,
"strong","anyways","anypos","y","neutral",,
"strong","apathetic","adj","n","negative",,
"strong","apathetic","noun","n","negative",,
"strong","apathetically","adverb","n","negative",,
"strong","apathy","noun","n","negative",,
"strong","ape","verb","y","negative",,
"strong","apocalypse","noun","n","negative",,
"strong","apocalyptic","adj","n","negative",,
"strong","apologist","adj","n","negative",,
"strong","apologist","noun","n","negative",,
"strong","apologists","adj","n","negative",,
"strong","apologists","noun","n","negative",,
"strong","apostle","adj","n","positive",,
"strong","apostle","noun","n","positive",,
"strong","apotheosis","adj","n","positive",,
"strong","apotheosis","noun","n","positive",,
"strong","appal","verb","y","negative",,
"strong","appall","adj","n","negative",,
"strong","appall","anypos","y","negative",,
"strong","appall","verb","y","negative",,
"strong","appalled","adj","n","negative",,
"strong","appalling","adj","n","negative",,
"strong","appallingly","anypos","n","negative",,
"weak","apparent","anypos","y","neutral",,
"weak","apparently","anypos","y","neutral",,
"weak","appeal","adj","n","positive",,
"weak","appeal","noun","n","positive",,
"weak","appeal","verb","y","positive",,
"strong","appealing","adj","n","positive",,
"weak","appear","anypos","y","neutral",,
"weak","appearance","adj","n","neutral",,
"weak","appearance","noun","n","neutral",,
"weak","appease","verb","y","positive",,
"strong","applaud","verb","y","positive",,
"weak","appreciable","adj","n","positive",,
"strong","appreciate","verb","y","positive",,
"strong","appreciation","adj","n","positive",,
"strong","appreciation","noun","n","positive",,
"strong","appreciative","anypos","n","positive",,
"strong","appreciatively","anypos","y","positive",,
"strong","appreciativeness","anypos","y","positive",,
"weak","apprehend","verb","y","neutral",,
"strong","apprehension","noun","n","negative",,
"strong","apprehensions","adj","n","negative",,
"strong","apprehensions","noun","n","negative",,
"strong","apprehensive","adj","n","negative",,
"strong","apprehensive","noun","n","negative",,
"strong","apprehensively","anypos","y","negative",,
"weak","appropriate","adj","n","positive",,
"weak","approval","noun","n","positive",,
"weak","approve","verb","y","positive",,
"weak","apt","adj","n","positive",,
"weak","aptly","adverb","n","positive",,
"weak","aptitude","noun","n","positive",,
"strong","arbitrary","adj","n","negative",,
"strong","arcane","adj","n","negative",,
"strong","archaic","adj","n","negative",,
"strong","ardent","adj","n","positive",,
"strong","ardently","anypos","n","positive",,
"strong","ardor","noun","n","positive",,
"strong","arduous","adj","n","negative",,
"strong","arduously","anypos","n","negative",,
"weak","aristocratic","adj","n","positive",,
"strong","argue","verb","y","negative",,
"weak","argument","adj","n","negative",,
"weak","argument","noun","n","negative",,
"strong","argumentative","anypos","y","negative",,
"weak","arguments","adj","n","negative",,
"weak","arguments","noun","n","negative",,
"strong","arousal","anypos","y","positive",,
"strong","arouse","verb","y","positive",,
"strong","arousing","anypos","y","positive",,
"strong","arresting","adj","n","positive",,
"strong","arrogance","noun","n","negative",,
"strong","arrogant","adj","n","negative",,
"strong","arrogant","anypos","y","negative",,
"strong","arrogantly","anypos","n","negative",,
"strong","arrogantly","anypos","y","negative",,
"strong","articulate","adj","n","positive",,
"weak","artificial","adj","n","negative",,
"strong","ascendant","adj","n","positive",,
"strong","ascendant","noun","n","positive",,
"strong","ascertainable","adj","n","positive",,
"strong","ascertainable","noun","n","positive",,
"strong","ashamed","adj","n","negative",,
"strong","asinine","adj","n","negative",,
"strong","asininely","adverb","n","negative",,
"strong","asinininity","noun","n","negative",,
"strong","askance","adverb","n","negative",,
"strong","asperse","verb","y","negative",,
"strong","aspersion","noun","n","negative",,
"strong","aspersions","noun","n","negative",,
"strong","aspiration","noun","n","positive",,
"strong","aspirations","adj","n","positive",,
"strong","aspirations","noun","n","positive",,
"strong","aspire","verb","y","positive",,
"weak","assail","verb","y","negative",,
"weak","assassinate","verb","y","negative",,
"strong","assassin","noun","n","negative",,
"weak","assault","adj","n","negative",,
"weak","assault","noun","n","negative",,
"strong","assent","verb","y","positive",,
"strong","assertions","adj","n","positive",,
"strong","assertions","noun","n","positive",,
"weak","assertive","adj","n","positive",,
"strong","assess","verb","y","neutral",,
"weak","assessment","adj","n","neutral",,
"weak","assessment","noun","n","neutral",,
"weak","assessments","adj","n","neutral",,
"weak","assessments","noun","n","neutral",,
"weak","asset","noun","n","positive",,
"strong","assiduous","adj","n","positive",,
"strong","assiduously","adverb","n","positive",,
"weak","assuage","verb","y","positive",,
"weak","assumption","adj","n","neutral",,
"weak","assumption","noun","n","neutral",,
"weak","assurance","adj","n","positive",,
"weak","assurance","noun","n","positive",,
"weak","assurances","adj","n","positive",,
"weak","assurances","noun","n","positive",,
"strong","assure","verb","y","positive",,
"strong","assuredly","anypos","n","positive",,
"strong","astonish","verb","y","positive",,
"strong","astonished","adj","n","positive",,
"strong","astonishing","adj","n","positive",,
"strong","astonishing","anypos","y","positive",,
"strong","astonishingly","anypos","n","positive",,
"strong","astonishment","noun","n","positive",,
"strong","astound","verb","y","positive",,
"strong","astounded","adj","n","positive",,
"strong","astounding","adj","n","positive",,
"strong","astounding","anypos","n","positive",,
"strong","astounding","anypos","y","positive",,
"strong","astoundingly","anypos","n","positive",,
"weak","astray","adj","n","negative",,
"strong","astronomic","adj","n","neutral",,
"strong","astronomical","adj","n","neutral",,
"strong","astronomically","anypos","n","neutral",,
"strong","astute","adj","n","positive",,
"strong","astutely","adverb","n","positive",,
"strong","asunder","anypos","n","negative",,
"weak","asylum","adj","n","positive",,
"weak","asylum","noun","n","positive",,
"strong","atrocious","adj","n","negative",,
"strong","atrocities","noun","n","negative",,
"strong","atrocity","noun","n","negative",,
"strong","atrophy","verb","y","negative",,
"weak","attack","noun","n","negative",,
"weak","attack","verb","y","negative",,
"weak","attain","verb","y","positive",,
"weak","attainable","adj","n","positive",,
"strong","attentive","adj","n","positive",,
"strong","attest","verb","y","positive",,
"strong","attitude","adj","n","neutral",,
"strong","attitude","noun","n","neutral",,
"weak","attitudes","adj","n","neutral",,
"weak","attitudes","noun","n","neutral",,
"strong","attraction","adj","n","positive",,
"strong","attraction","noun","n","positive",,
"strong","attractive","adj","n","positive",,
"strong","attractive","noun","n","positive",,
"strong","attractively","anypos","y","positive",,
"weak","attune","adj","n","positive",,
"strong","audacious","adj","n","negative",,
"strong","audaciously","anypos","n","negative",,
"strong","audaciousness","noun","n","negative",,
"strong","audacity","noun","n","negative",,
"strong","auspicious","adj","n","positive",,
"strong","austere","adj","n","negative",,
"weak","authentic","adj","n","positive",,
"weak","authoritarian","adj","n","negative",,
"weak","authoritative","adj","n","positive",,
"strong","autocrat","noun","n","negative",,
"strong","autocratic","adj","n","negative",,
"weak","award","adj","n","positive",,
"weak","award","verb","y","positive",,
"strong","awareness","noun","n","neutral",,
"strong","aware","adj","n","neutral",,
"strong","autocratic","adj","n","negative",,
"strong","autocratic","noun","n","negative",,
"weak","autonomous","adj","n","positive",,
"strong","avalanche","adj","n","negative",,
"strong","avalanche","noun","n","negative",,
"strong","avarice","noun","n","negative",,
"strong","avaricious","adj","n","negative",,
"strong","avariciously","adj","n","negative",,
"strong","avenge","verb","y","negative",,
"strong","aver","verb","y","positive",,
"strong","averse","anypos","n","negative",,
"strong","aversion","noun","n","negative",,
"strong","avid","adj","n","positive",,
"strong","avidly","anypos","n","positive",,
"weak","avoid","verb","y","negative",,
"weak","avoidance","noun","n","negative",,
"strong","awe","noun","n","positive",,
"strong","awe","verb","y","positive",,
"strong","awed","adj","n","positive",,
"strong","awesome","adj","n","positive",,
"strong","awesome","anypos","y","positive",,
"strong","awesomely","anypos","n","positive",,
"strong","awesomeness","noun","n","positive",,
"strong","awestruck","adj","n","positive",,
"strong","awful","adj","n","negative",,
"strong","awful","anypos","n","negative",,
"strong","awfully","anypos","n","negative",,
"strong","awfulness","anypos","y","negative",,
"strong","awfulness","noun","n","negative",,
"strong","awkward","adj","n","negative",,
"strong","awkwardness","noun","n","negative",,
"strong","ax","verb","y","negative",,
"strong","babble","verb","y","negative",,
"strong","baby","adj","n","neutral",,
"strong","baby","noun","n","neutral",,
"weak","back","verb","y","positive",,
"strong","backbite","verb","y","negative",,
"strong","backbiting","anypos","n","negative",,
"weak","backbone","noun","n","positive",,
"strong","backward","adj","n","negative",,
"strong","backwardness","noun","n","negative",,
"strong","bad","adj","n","negative",,
"strong","badly","adj","n","negative",,
"strong","baffle","verb","y","negative",,
"strong","baffled","adj","n","negative",,
"strong","bafflement","noun","n","negative",,
"strong","baffling","anypos","n","negative",,
"strong","bait","verb","y","negative",,
"weak","balanced","adj","n","positive",,
"strong","balk","verb","y","negative",,
"strong","banal","adj","n","negative",,
"strong","banal","anypos","y","negative",,
"strong","banalize","verb","y","negative",,
"strong","bane","noun","n","negative",,
"strong","banish","adj","n","negative",,
"strong","banish","verb","y","negative",,
"strong","banishment","noun","n","negative",,
"weak","bankrupt","adj","n","negative",,
"weak","bankrupt","verb","y","negative",,
"weak","bar","verb","y","negative",,
"strong","barbarian","adj","n","negative",,
"strong","barbarian","noun","n","negative",,
"strong","barbaric","adj","n","negative",,
"strong","barbarically","anypos","n","negative",,
"strong","barbarity","adj","n","negative",,
"strong","barbarity","noun","n","negative",,
"strong","barbarous","adj","n","negative",,
"strong","barbarous","anypos","y","negative",,
"strong","barbarously","anypos","n","negative",,
"weak","barely","anypos","y","negative",,
"strong","bargain","noun","n","positive",,
"strong","bargain","adj","n","positive",,
"strong","barren","adj","n","negative",,
"strong","baseless","adj","n","negative",,
"strong","bashful","adj","n","negative",,
"weak","basic","adj","n","positive",,
"weak","basically","anypos","n","neutral",,
"weak","bask","verb","y","positive",,
"strong","bastard","anypos","y","negative",,
"strong","bastard","noun","n","negative",,
"weak","batons","adj","n","neutral",,
"weak","batons","noun","n","neutral",,
"weak","battered","adj","n","negative",,
"weak","battering","adj","n","negative",,
"weak","battering","noun","n","negative",,
"weak","battle","verb","y","negative",,
"strong","battle-lines","adj","n","negative",,
"strong","battle-lines","noun","n","negative",,
"weak","battlefield","noun","n","negative",,
"strong","battleground","adj","n","negative",,
"strong","battleground","noun","n","negative",,
"strong","batty","adj","n","negative",,
"weak","beacon","noun","n","positive",,
"weak","bearish","adj","n","negative",,
"strong","beast","adj","n","negative",,
"strong","beast","noun","n","negative",,
"strong","beastly","adj","n","negative",,
"strong","beatify","verb","y","positive",,
"strong","beauteous","adj","n","positive",,
"strong","beautiful","adj","n","positive",,
"strong","beautiful","anypos","y","positive",,
"strong","beautifully","anypos","n","positive",,
"strong","beautify","verb","y","positive",,
"strong","beauty","noun","n","positive",,
"strong","bedlam","noun","n","negative",,
"strong","bedlamite","noun","n","negative",,
"strong","befit","verb","y","positive",,
"strong","befitting","adj","n","positive",,
"strong","befoul","verb","y","negative",,
"strong","befriend","verb","y","positive",,
"strong","beg","verb","y","negative",,
"weak","beggar","noun","n","negative",,
"strong","beggarly","adj","n","negative",,
"strong","begging","adj","n","negative",,
"strong","begging","noun","n","negative",,
"strong","beguile","verb","y","negative",,
"weak","belated","adj","n","negative",,
"strong","belabor","verb","y","negative",,
"strong","beleaguer","verb","y","negative",,
"strong","belie","verb","y","negative",,
"strong","belief","adj","n","neutral",,
"strong","belief","noun","n","neutral",,
"weak","beliefs","adj","n","neutral",,
"weak","beliefs","noun","n","neutral",,
"strong","believable","adj","n","positive",,
"strong","believe","verb","y","neutral",,
"strong","belittle","verb","y","negative",,
"strong","belittled","adj","n","negative",,
"strong","belittling","anypos","y","negative",,
"strong","bellicose","adj","n","negative",,
"strong","bellicose","noun","n","negative",,
"strong","belligerence","noun","n","negative",,
"strong","belligerent","adj","n","negative",,
"strong","belligerent","anypos","y","negative",,
"strong","belligerently","anypos","n","negative",,
"strong","beloved","adj","n","positive",,
"strong","bemoan","verb","y","negative",,
"strong","bemoaning","adj","n","negative",,
"strong","bemused","adj","n","negative",,
"weak","benefactor","noun","n","positive",,
"weak","beneficial","adj","n","positive",,
"strong","beneficent","adj","n","positive",,
"strong","beneficial","anypos","y","positive",,
"strong","beneficially","anypos","y","positive",,
"strong","beneficiary","adj","n","positive",,
"strong","beneficiary","noun","n","positive",,
"weak","benefit","adj","n","positive",,
"weak","benefit","noun","n","positive",,
"weak","benefits","adj","n","positive",,
"weak","benefits","noun","n","positive",,
"strong","benevolence","noun","n","positive",,
"strong","benevolent","adj","n","positive",,
"weak","benign","adj","n","positive",,
"weak","bent","adj","n","negative",,
"strong","berate","verb","y","negative",,
"strong","bereave","verb","y","negative",,
"strong","bereavement","noun","n","negative",,
"strong","bereft","anypos","n","negative",,
"strong","berserk","adj","n","negative",,
"strong","beseech","verb","y","negative",,
"weak","beset","adj","n","negative",,
"strong","besides","anypos","y","neutral",,
"weak","besiege","verb","y","negative",,
"strong","besmirch","verb","y","negative",,
"strong","best","anypos","y","positive",,
"strong","best-known","adj","n","positive",,
"strong","best-performing","adj","n","positive",,
"weak","best-selling","adj","n","positive",,
"strong","bestial","adj","n","negative",,
"strong","betray","verb","y","negative",,
"strong","betrayal","noun","n","negative",,
